"0","0","Degree chair bag relationship","joshuahines@yahoo.com","pbkdf2:sha256:600000$tUmDesvGSBhxh2WY$c33c4a793140e95efabd0e90941b99bd11740dbdcb1e51ec087586507e797272","Check than after kid involve friend thing memory under anyone occur general every relationship actually.","Female Empowerment","Africa","430.15"
"1.0","10","Eight several this suffer","jeremyhahn@gmail.com","pbkdf2:sha256:600000$elyn9khSs8BTL8fr$da9587df2adb8b29712df837ebfeea808e1455d4754dcf361ca482e034039acb","Subject ability physical unit save trouble particularly majority building claim model believe piece house off also individual cold hand although current yard.","Child Services","Europe","399.45"
"2.0","20","Beautiful may fact Mrs especially","whitedesiree@hotmail.com","pbkdf2:sha256:600000$5kzs1D3JQVUmgHgN$28996d5a74bc5274da4761b7c669a79e5646f2b052d0767038d9d313573c8cd9","Brother everyone decision management seven throughout discussion notice they someone ever defense receive dream skin commercial.","Child Services","Asia","499.03"
"3.0","30","Every point garden high difference","alyssa60@hotmail.com","pbkdf2:sha256:600000$D0EQSqBdBW9kh0oi$2836dc7754d9e11758cbda5845622074a77cc8f4dd2d24808114dd95b13c273e","Every administration support rock back sort either financial collection keep site whose pattern sport each meet instead chance any travel.","Female Empowerment","Europe","387.37"
"4.0","40","That others carry why number","shuerta@gmail.com","pbkdf2:sha256:600000$z8rAHJqECpT195xE$ae15664616ad51da6c49a9037d9f04e4053d2fd5ea0788ab00abfab241e4a58e","Thought white suffer these lose beyond pull reflect such street maintain assume situation coach.","Child Services","Middle East","59.18"
"5.0","50","Me later water receive rather","evan52@yahoo.com","pbkdf2:sha256:600000$I7LcWYLsKVKdtfHk$9687bfcea3e7201aac49a11f9e0a1f1844512a59c48b2723d23f20943d2b2fe2","Special article trade know ball at poor enter card phone my woman pick actually green blood account most information green.","Child Services","Middle East","421.67"
"6.0","60","Risk step","joseph47@yahoo.com","pbkdf2:sha256:600000$lxDDTV6bORiM6PLg$3f1b8db0952b3ee1bd83061a4dcad3089b849fad40fbfb100a4b0112f0c0a226","Personal back agreement no me family poor instead security wonder weight like never.","Climate","Carribean","349.03"
"7.0","70","Professor no conference image lawyer","critter@gmail.com","pbkdf2:sha256:600000$emFu3gZUFvy3CHIC$93eeb4e3cc3e7bcb68c22f6e9708fdaca8e100106a88054a56ff06a33fe11775","Cup include bring later impact effect direction phone information production amount huge add site moment move lose office risk.","Child Services","North America ","337.09"
"8.0","80","Ability movie soldier","joelbarron@gmail.com","pbkdf2:sha256:600000$UPwKIMnJeRsoc834$ee89c2df3b2551d0a83c70fc72fa12136f00737c7b641d429908063da0c3d5cd","Point one pick upon room democratic result she authority entire prove social send appear physical treat one accept condition.","Humanitarian Aid","Africa","10.60"
"9.0","90","Talk cover","jcox@yahoo.com","pbkdf2:sha256:600000$1XjmGNLv4dPucUQg$4880c3cb2317aea6de33adc97367bf8283c2739af3eb3d83a7f19c00dfae0501","Box key fact home people mind whom quite poor make large themselves others medical surface food should time send result there professional democratic store able.","Female Empowerment","Middle East","325.58"
