"0","tamaramorrison@hotmail.com","pbkdf2:sha256:600000$doIPH5gl5ajor2qE$6c022086fe79c95adb50aa8d41dc638dbf5f7aae5c9d9a0ab70812624d2eb3cc","Gary","Cross","227.11"
"1","stephenschristine@yahoo.com","pbkdf2:sha256:600000$NLHyfnscwQ40FNnu$08c4ac4dfeb58504626cafcc0e91ea8b05aa8c315447603f8aa5070b76ff1c39","Madison","Obrien","113.09"
"2","hensontroy@yahoo.com","pbkdf2:sha256:600000$l0cE8JZ6i0vmm04w$deab84f9832013d0eb9b083160934fb8b3adbcad76b0be32931961e44ad0d937","Ronald","Miller","239.06"
"3","kimberly00@yahoo.com","pbkdf2:sha256:600000$12fPGT786Wo7dJd4$974e75d91bfaaa69221ea52360ba9538edfc6b8c4bc9d3e33616827a5efe0b58","Melanie","Grant","76.74"
"4","ryanhoward@gmail.com","pbkdf2:sha256:600000$gueylJlJsFOaq7DB$1b4c359416605c04b1393f81da37fb613fe5b0ffcbdf4700f6375e6f6b3a7ac1","Jaime","Villegas","442.89"
"5","melissayates@hotmail.com","pbkdf2:sha256:600000$7rMDfLOU4ERzDU5U$7f396b31ef96b82806a83fedd01c0f3da6a8426859ef1568dd6cd421765eb0ef","Amanda","Smith","379.23"
"6","hhunter@gmail.com","pbkdf2:sha256:600000$4VQas98n9jVjLK3w$9ba2fa2b5a2a18317c0e1f391f62de3138ec0c4427821dbb2056531c576b4baf","Shane","Becker","456.72"
"7","jack11@hotmail.com","pbkdf2:sha256:600000$BK5gw0RBa3cz4dHK$15fa7b81bb1bc31de141c97ff974604a7d1f1267612256eada21ec537955d9b3","Megan","Mays","157.20"
"8","danny48@hotmail.com","pbkdf2:sha256:600000$NY7VzT9K0JCm8w2q$152c046d6a750a14173b7291cc993a97e29b7ae478b59e146503e8a7785e6049","Kristin","Watts","217.90"
"9","juliewilliams@hotmail.com","pbkdf2:sha256:600000$OyHM51Xac8YIjXhr$11e9fd11747a091545e8f5c3ce9c4fd95c6e045ac96eea233dc140b4446f2d8d","Keith","Taylor","13.45"
"10","welchzachary@hotmail.com","pbkdf2:sha256:600000$y9VRMSbtAr0vQxcY$3f7d2fdee37fbba9a969569cbce0207dadc4a40962e0ccbf6f23ffca82814dbb","Kevin","Williams","476.94"
"11","hstevens@gmail.com","pbkdf2:sha256:600000$h2mknOOf3H84yJMo$3d85ca3ed9ad3386cc13f04edc68911cf20a2f2308a99e74056a8956969bae80","Cheryl","Miller","123.12"
"12","taylorjamie@yahoo.com","pbkdf2:sha256:600000$v03Yodu5geMWRA4O$1c1a8bea1004866ba96c5dff327cb5824682a41f7f7c8206077b3e0ce1c4d4e2","Mitchell","Payne","392.89"
"13","areyes@yahoo.com","pbkdf2:sha256:600000$xkPqJX2yeQmkv61f$9339169d5b481b305ea9630dfaabb72ce72699e3b399f178eb9e59c8b775a7ed","Katherine","Brown","272.94"
"14","linda39@hotmail.com","pbkdf2:sha256:600000$aVRPPnl4YH73dul3$97eb28ebbd2cf34bb3242f9883cb41aff66bdbfc9f1ef2f3178798f25d97d676","Raymond","III","272.87"
"15","allison23@hotmail.com","pbkdf2:sha256:600000$gbmMhPejTiMeVDz6$b13d596dacf9ca522ac603d9694d06ddcfd3bb9e8210187313f642b24be01292","Justin","Branch","321.89"
"16","patricialozano@hotmail.com","pbkdf2:sha256:600000$U9e1PiNrNrotPGoy$3409102dee31825838dd5bb4b8ac59a2056b6a63f90a0aac416488c5af1a9ec6","Timothy","Kirk","366.97"
"17","martha85@hotmail.com","pbkdf2:sha256:600000$FQEh81989Eplqz42$5a6831edb5e84595abca1e556b10d1426866d2743d69c7e3cf638a54ad637fac","Emily","Arroyo","69.40"
"18","sherryvilla@yahoo.com","pbkdf2:sha256:600000$tQ4wYiJehTPDSw5x$53f0bba63c87f0a07dc8f2ca5c5a9ab15931c5c35d908da182ffbe870cea0dff","Jose","Copeland","247.80"
"19","billy56@hotmail.com","pbkdf2:sha256:600000$NrjIW3bAMMkslqJc$34fb2a7e7a858f47e8a0630a385cd16e2f17e2a4e5c61c837b2a40b0e640aac1","Jason","Hopkins","273.06"
